GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022300174,1610612761,TOR,Toronto,1628384,OG Anunoby,OG,F,,27.000000:32,3.0,13.0,0.231,2.0,8.0,0.25,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,8.0,-26.0
0022300174,1610612761,TOR,Toronto,1627783,Pascal Siakam,Pascal,F,,28.000000:07,6.0,17.0,0.353,0.0,4.0,0.0,5.0,6.0,0.833,2.0,5.0,7.0,3.0,3.0,0.0,3.0,0.0,17.0,-9.0
0022300174,1610612761,TOR,Toronto,1627751,Jakob Poeltl,Jakob,C,,21.000000:17,6.0,10.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,3.0,12.0,-9.0
0022300174,1610612761,TOR,Toronto,1630567,Scottie Barnes,Scottie,G,,28.000000:43,4.0,15.0,0.267,2.0,9.0,0.222,0.0,0.0,0.0,1.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,10.0,-28.0
0022300174,1610612761,TOR,Toronto,203471,Dennis Schroder,Dennis,G,,25.000000:19,3.0,7.0,0.429,1.0,3.0,0.333,7.0,7.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,3.0,14.0,-2.0
0022300174,1610612761,TOR,Toronto,203490,Otto Porter Jr.,Otto,,,14.000000:20,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,-9.0
0022300174,1610612761,TOR,Toronto,1630201,Malachi Flynn,Malachi,,,22.000000:41,5.0,7.0,0.714,2.0,4.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,12.0,-21.0
0022300174,1610612761,TOR,Toronto,1630173,Precious Achiuwa,Precious,,,18.000000:31,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,-12.0
0022300174,1610612761,TOR,Toronto,1628449,Chris Boucher,Chris,,,21.000000:59,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,6.0,-9.0
0022300174,1610612761,TOR,Toronto,1641711,Gradey Dick,Gradey,,,14.000000:33,1.0,4.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,-4.0
0022300174,1610612761,TOR,Toronto,1629667,Jalen McDaniels,Jalen,,,8.000000:56,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
0022300174,1610612761,TOR,Toronto,202066,Garrett Temple,Garrett,,,4.000000:01,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0
0022300174,1610612761,TOR,Toronto,201152,Thaddeus Young,Thaddeus,,,4.000000:01,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,6.0
0022300174,1610612738,BOS,Boston,1627759,Jaylen Brown,Jaylen,F,,31.000000:41,12.0,20.0,0.6,3.0,8.0,0.375,2.0,3.0,0.667,1.0,4.0,5.0,2.0,0.0,0.0,2.0,1.0,29.0,9.0
