GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022300176,1610612739,CLE,Cleveland,1629622,Max Strus,Max,F,,32.000000:52,6,9,0.667,2,3,0.667,2,2,1.0,1,7,8,4,1,0,0,2,16,6.0
0022300176,1610612739,CLE,Cleveland,1630596,Evan Mobley,Evan,F,,31.000000:04,6,10,0.6,0,1,0.0,7,7,1.0,1,4,5,2,1,1,2,4,19,-4.0
0022300176,1610612739,CLE,Cleveland,1628386,Jarrett Allen,Jarrett,C,,28.000000:00,2,6,0.333,0,0,0.0,8,9,0.889,3,2,5,4,0,0,1,4,12,13.0
0022300176,1610612739,CLE,Cleveland,1629636,Darius Garland,Darius,G,,35.000000:50,6,13,0.462,3,5,0.6,4,6,0.667,2,4,6,4,5,0,4,2,19,5.0
0022300176,1610612739,CLE,Cleveland,1628378,Donovan Mitchell,Donovan,G,,36.000000:06,7,22,0.318,2,6,0.333,5,5,1.0,1,6,7,5,2,1,2,4,21,15.0
0022300176,1610612739,CLE,Cleveland,1627777,Georges Niang,Georges,,,18.000000:60,0,4,0.0,0,4,0.0,0,0,0.0,1,1,2,1,0,0,1,1,0,-10.0
0022300176,1610612739,CLE,Cleveland,1627747,Caris LeVert,Caris,,,35.000000:52,8,18,0.444,2,7,0.286,4,5,0.8,2,3,5,3,4,1,0,1,22,23.0
0022300176,1610612739,CLE,Cleveland,1629731,Dean Wade,Dean,,,16.000000:40,2,4,0.5,2,4,0.5,2,2,1.0,0,7,7,0,0,0,0,6,8,20.0
0022300176,1610612739,CLE,Cleveland,202684,Tristan Thompson,Tristan,,,1.000000:32,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-8.0
0022300176,1610612739,CLE,Cleveland,1627745,Damian Jones,Damian,,,0.000000:46,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6.0
0022300176,1610612739,CLE,Cleveland,1641854,Craig Porter,Craig,,,1.000000:32,0,0,0.0,0,0,0.0,1,6,0.167,0,0,0,0,0,0,0,0,1,-8.0
0022300176,1610612739,CLE,Cleveland,1641734,Emoni Bates,Emoni,,,0.000000:46,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6.0
0022300176,1610612744,GSW,Golden State,203952,Andrew Wiggins,Andrew,F,,29.000000:08,6,12,0.5,1,4,0.25,0,2,0.0,3,2,5,3,0,0,3,2,13,-13.0
0022300176,1610612744,GSW,Golden State,203110,Draymond Green,Draymond,F,,17.000000:59,3,4,0.75,2,3,0.667,0,0,0.0,2,3,5,4,0,0,1,3,8,-2.0
0022300176,1610612744,GSW,Golden State,1626172,Kevon Looney,Kevon,C,,23.000000:59,1,2,0.5,0,0,0.0,0,0,0.0,3,10,13,2,0,0,1,5,2,-3.0
0022300176,1610612744,GSW,Golden State,202691,Klay Thompson,Klay,G,,27.000000:48,5,16,0.313,2,5,0.4,2,2,1.0,1,4,5,1,0,1,3,3,14,-7.0
0022300176,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32.000000:33,9,24,0.375,4,14,0.286,8,8,1.0,1,2,3,2,1,1,4,1,30,-8.0
0022300176,1610612744,GSW,Golden State,1627780,Gary Payton II,Gary,,,11.000000:11,1,4,0.25,0,1,0.0,1,2,0.5,2,3,5,0,0,0,1,0,3,-11.0
0022300176,1610612744,GSW,Golden State,203967,Dario Saric,Dario,,,16.000000:26,2,5,0.4,0,3,0.0,1,1,1.0,0,5,5,1,0,1,0,3,5,0.0
0022300176,1610612744,GSW,Golden State,101108,Chris Paul,Chris,,,26.000000:25,4,7,0.571,1,2,0.5,0,0,0.0,0,3,3,9,3,0,3,2,9,-12.0
0022300176,1610612744,GSW,Golden State,1630541,Moses Moody,Moses,,,17.000000:45,2,4,0.5,2,3,0.667,2,2,1.0,1,4,5,1,0,0,1,3,8,2.0
0022300176,1610612744,GSW,Golden State,1630228,Jonathan Kuminga,Jonathan,,,20.000000:39,2,7,0.286,0,1,0.0,8,11,0.727,0,3,3,0,0,0,0,4,12,-1.0
0022300176,1610612744,GSW,Golden State,1631218,Trayce Jackson-Davis,Trayce,,,5.000000:34,0,1,0.0,0,0,0.0,1,2,0.5,1,0,1,0,0,0,0,1,1,4.0
0022300176,1610612744,GSW,Golden State,1641764,Brandin Podziemski,Brandin,,,8.000000:21,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,2,1,0,1,1,2,5.0
0022300176,1610612744,GSW,Golden State,202709,Cory Joseph,Cory,,,2.000000:12,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,2,1,3,6.0
