GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022300262,1610612755,PHI,Philadelphia,201587,Nicolas Batum,Nicolas,F,,14.000000:07,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,-21.0
0022300262,1610612755,PHI,Philadelphia,202699,Tobias Harris,Tobias,F,,29.000000:16,5.0,10.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,5.0,2.0,12.0,-14.0
0022300262,1610612755,PHI,Philadelphia,202694,Marcus Morris Sr.,Marcus,C,,17.000000:15,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,7.0,-17.0
0022300262,1610612755,PHI,Philadelphia,1629001,De'Anthony Melton,De'Anthony,G,,30.000000:14,5.0,14.0,0.357,4.0,10.0,0.4,3.0,4.0,0.75,0.0,3.0,3.0,6.0,3.0,1.0,4.0,2.0,17.0,-17.0
0022300262,1610612755,PHI,Philadelphia,1630178,Tyrese Maxey,Tyrese,G,,38.000000:11,13.0,25.0,0.52,3.0,10.0,0.3,4.0,4.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,4.0,2.0,33.0,-11.0
0022300262,1610612755,PHI,Philadelphia,1628964,Mo Bamba,Mo,,,14.000000:11,3.0,7.0,0.429,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,0.0,0.0,4.0,1.0,3.0,6.0,5.0
0022300262,1610612755,PHI,Philadelphia,203496,Robert Covington,Robert,,,29.000000:35,4.0,5.0,0.8,4.0,4.0,1.0,0.0,0.0,0.0,2.0,5.0,7.0,1.0,0.0,1.0,0.0,3.0,12.0,11.0
0022300262,1610612755,PHI,Philadelphia,201976,Patrick Beverley,Patrick,,,21.000000:21,3.0,4.0,0.75,1.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,1.0,11.0,3.0
0022300262,1610612755,PHI,Philadelphia,1630194,Paul Reed,Paul,,,26.000000:34,3.0,4.0,0.75,0.0,1.0,0.0,3.0,3.0,1.0,2.0,2.0,4.0,5.0,1.0,0.0,3.0,4.0,9.0,1.0
0022300262,1610612755,PHI,Philadelphia,1630231,KJ Martin,KJ,,,16.000000:58,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,4.0,4.0
0022300262,1610612755,PHI,Philadelphia,1627788,Furkan Korkmaz,Furkan,,,2.000000:18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
0022300262,1610612755,PHI,Philadelphia,203954,Joel Embiid,Joel,,NWT - Not With Team,,,,,,,,,,,,,,,,,,,,
0022300262,1610612740,NOP,New Orleans,1627742,Brandon Ingram,Brandon,F,,35.000000:04,4.0,7.0,0.571,2.0,4.0,0.5,5.0,5.0,1.0,0.0,4.0,4.0,6.0,1.0,1.0,1.0,1.0,15.0,10.0
