TEAM_NAME,TEAM_PTS,TEAM_VIC,B_PM_NAME,B_PM_PTS,B_PM_REB,B_PM_AST,B_PM_PM,B_PM_MIN,W_PM_NAME,W_PM_PTS,W_PM_REB,W_PM_AST,W_PM_PM,W_PM_MIN,B_GS_NAME,B_GS_PTS,B_GS_REB,B_GS_AST,B_GS_GS,B_GS_MIN,W_GS_NAME,W_GS_PTS,W_GS_REB,W_GS_AST,W_GS_GS,W_GS_MIN
DET,98,False,Killian Hayes,7,1,8,8.0,21.0,Cade Cunningham,15,4,5,-33.0,23.0,Marcus Sasser,9,1,8,11.4,27.0,Stanley Umude,8,5,2,1.4,20.0
LAL,120,True,D'Angelo Russell,35,4,9,31.0,34.0,Christian Wood,12,9,0,2.0,25.0,D'Angelo Russell,35,4,9,34.8,34.0,Cam Reddish,0,3,2,-1.6,19.0
