TEAM_NAME,TEAM_PTS,TEAM_VIC,B_PM_NAME,B_PM_PTS,B_PM_REB,B_PM_AST,B_PM_PM,B_PM_MIN,W_PM_NAME,W_PM_PTS,W_PM_REB,W_PM_AST,W_PM_PM,W_PM_MIN,B_GS_NAME,B_GS_PTS,B_GS_REB,B_GS_AST,B_GS_GS,B_GS_MIN,W_GS_NAME,W_GS_PTS,W_GS_REB,W_GS_AST,W_GS_GS,W_GS_MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT
GSW,116,False,Kevon Looney,4.0,2.0,1.0,7.0,11.0,Draymond Green,9.0,10.0,4.0,-12.0,31.0,Brandin Podziemski,25.0,7.0,8.0,26.3,32.0,Gary Payton II,2.0,2.0,3.0,2.9,14.0,0.544,0.175,0.084,0.224
LAC,130,True,Ivica Zubac,13.0,10.0,3.0,13.0,27.0,Amir Coffey,14.0,6.0,0.0,-5.0,23.0,James Harden,26.0,8.0,7.0,27.8,40.0,Terance Mann,9.0,5.0,4.0,7.1,27.0,0.574,0.42,0.115,0.245
