TEAM_NAME,TEAM_PTS,TEAM_VIC,B_PM_NAME,B_PM_PTS,B_PM_REB,B_PM_AST,B_PM_PM,B_PM_MIN,W_PM_NAME,W_PM_PTS,W_PM_REB,W_PM_AST,W_PM_PM,W_PM_MIN,B_GS_NAME,B_GS_PTS,B_GS_REB,B_GS_AST,B_GS_GS,B_GS_MIN,W_GS_NAME,W_GS_PTS,W_GS_REB,W_GS_AST,W_GS_GS,W_GS_MIN
PHX,105,False,Yuta Watanabe,1.0,1.0,0.0,4.0,15.0,Devin Booker,8.0,5.0,5.0,-15.0,32.0,Jusuf Nurkic,19.0,14.0,6.0,20.8,29.0,Yuta Watanabe,1.0,1.0,0.0,-0.8,15.0
TOR,112,True,Scottie Barnes,23.0,7.0,4.0,14.0,37.0,Dennis Schroder,8.0,6.0,12.0,-2.0,33.0,Scottie Barnes,23.0,7.0,4.0,21.5,37.0,Malachi Flynn,2.0,5.0,1.0,1.5,14.0
