TEAM_NAME,TEAM_PTS,TEAM_VIC,B_PM_NAME,B_PM_PTS,B_PM_REB,B_PM_AST,B_PM_PM,B_PM_MIN,W_PM_NAME,W_PM_PTS,W_PM_REB,W_PM_AST,W_PM_PM,W_PM_MIN,B_GS_NAME,B_GS_PTS,B_GS_REB,B_GS_AST,B_GS_GS,B_GS_MIN,W_GS_NAME,W_GS_PTS,W_GS_REB,W_GS_AST,W_GS_GS,W_GS_MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT
WAS,124,False,Deni Avdija,43.0,15.0,3.0,14.0,39.0,Landry Shamet,8.0,2.0,1.0,-15.0,16.0,Deni Avdija,43.0,15.0,3.0,36.1,39.0,Bilal Coulibaly,6.0,3.0,1.0,-0.4,26.0,0.592,0.217,0.181,0.3
NOP,133,True,Naji Marshall,13.0,2.0,1.0,21.0,23.0,Brandon Ingram,18.0,3.0,8.0,-15.0,34.0,Zion Williamson,36.0,6.0,8.0,33.2,34.0,Herbert Jones,6.0,6.0,1.0,2.2,27.0,0.618,0.326,0.096,0.195
