TEAM_NAME,TEAM_PTS,TEAM_VIC,B_PM_NAME,B_PM_PTS,B_PM_REB,B_PM_AST,B_PM_PM,B_PM_MIN,W_PM_NAME,W_PM_PTS,W_PM_REB,W_PM_AST,W_PM_PM,W_PM_MIN,B_GS_NAME,B_GS_PTS,B_GS_REB,B_GS_AST,B_GS_GS,B_GS_MIN,W_GS_NAME,W_GS_PTS,W_GS_REB,W_GS_AST,W_GS_GS,W_GS_MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT
BOS,136,True,Derrick White,27,5,4,44.0,27.0,Jordan Walsh,0,5,0,8.0,18.0,Payton Pritchard,28,4,3,24.5,31.0,Jordan Walsh,0,5,0,-1.7,18.0,0.692,0.132,0.104,0.25
BKN,82,False,Keita Bates-Diop,7,1,0,-4.0,12.0,Cam Thomas,5,1,2,-35.0,25.0,Trendon Watford,15,2,1,11.8,25.0,Dennis Schroder,4,3,1,-0.6,17.0,0.444,0.185,0.128,0.118
