TEAM_NAME,TEAM_PTS,TEAM_VIC,B_PM_NAME,B_PM_PTS,B_PM_REB,B_PM_AST,B_PM_PM,B_PM_MIN,W_PM_NAME,W_PM_PTS,W_PM_REB,W_PM_AST,W_PM_PM,W_PM_MIN,B_GS_NAME,B_GS_PTS,B_GS_REB,B_GS_AST,B_GS_GS,B_GS_MIN,W_GS_NAME,W_GS_PTS,W_GS_REB,W_GS_AST,W_GS_GS,W_GS_MIN
LAC,128,True,Ivica Zubac,14.0,8.0,3.0,23.0,30.0,Daniel Theis,5.0,3.0,0.0,-12.0,17.0,Kawhi Leonard,34.0,9.0,3.0,32.6,36.0,Norman Powell,3.0,1.0,0.0,-0.9,13.0
SAC,113,False,Sasha Vezenkov,13.0,5.0,0.0,6.0,24.0,Domantas Sabonis,11.0,5.0,3.0,-19.0,30.0,De'Aaron Fox,40.0,5.0,3.0,28.6,37.0,Trey Lyles,2.0,5.0,2.0,-1.0,17.0
