TEAM_NAME,TEAM_PTS,TEAM_VIC,B_PM_NAME,B_PM_PTS,B_PM_REB,B_PM_AST,B_PM_PM,B_PM_MIN,W_PM_NAME,W_PM_PTS,W_PM_REB,W_PM_AST,W_PM_PM,W_PM_MIN,B_GS_NAME,B_GS_PTS,B_GS_REB,B_GS_AST,B_GS_GS,B_GS_MIN,W_GS_NAME,W_GS_PTS,W_GS_REB,W_GS_AST,W_GS_GS,W_GS_MIN
WAS,106,False,Daniel Gafford,4.0,3.0,4.0,-6.0,26.0,Corey Kispert,13.0,1.0,2.0,-18.0,20.0,Deni Avdija,22.0,4.0,5.0,24.3,27.0,Landry Shamet,5.0,1.0,1.0,1.0,18.0
ORL,130,True,Gary Harris,8.0,2.0,4.0,20.0,19.0,Jalen Suggs,22.0,3.0,3.0,4.0,28.0,Franz Wagner,31.0,6.0,3.0,28.6,30.0,Paolo Banchero,6.0,4.0,4.0,0.4,26.0
