TEAM_NAME,TEAM_PTS,TEAM_VIC,B_PM_NAME,B_PM_PTS,B_PM_REB,B_PM_AST,B_PM_PM,B_PM_MIN,W_PM_NAME,W_PM_PTS,W_PM_REB,W_PM_AST,W_PM_PM,W_PM_MIN,B_GS_NAME,B_GS_PTS,B_GS_REB,B_GS_AST,B_GS_GS,B_GS_MIN,W_GS_NAME,W_GS_PTS,W_GS_REB,W_GS_AST,W_GS_GS,W_GS_MIN
NOP,119,True,CJ McCollum,20.0,4.0,5.0,19.0,28.0,Cody Zeller,1.0,1.0,0.0,-9.0,13.0,Zion Williamson,33.0,8.0,6.0,36.2,33.0,Cody Zeller,1.0,1.0,0.0,-3.8,13.0
PHI,114,False,Robert Covington,12.0,7.0,1.0,11.0,29.0,Nicolas Batum,3.0,1.0,0.0,-21.0,14.0,Tyrese Maxey,33.0,1.0,3.0,20.3,38.0,KJ Martin,4.0,2.0,2.0,0.4,16.0
