TEAM_NAME,TEAM_PTS,TEAM_VIC,B_PM_NAME,B_PM_PTS,B_PM_REB,B_PM_AST,B_PM_PM,B_PM_MIN,W_PM_NAME,W_PM_PTS,W_PM_REB,W_PM_AST,W_PM_PM,W_PM_MIN,B_GS_NAME,B_GS_PTS,B_GS_REB,B_GS_AST,B_GS_GS,B_GS_MIN,W_GS_NAME,W_GS_PTS,W_GS_REB,W_GS_AST,W_GS_GS,W_GS_MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT
DAL,111,True,Dereck Lively II,8.0,5.0,1.0,27.0,17.0,Daniel Gafford,10.0,10.0,2.0,2.0,22.0,Kyrie Irving,34.0,9.0,7.0,33.9,32.0,Derrick Jones Jr.,0.0,3.0,0.0,-1.1,19.0,0.592,0.109,0.153,0.182
SAS,93,False,Julian Champagnie,5.0,2.0,1.0,0.0,18.0,Keldon Johnson,3.0,2.0,0.0,-27.0,20.0,Victor Wembanyama,26.0,9.0,5.0,23.4,27.0,Keldon Johnson,3.0,2.0,0.0,-4.4,20.0,0.41,0.15,0.114,0.2
