TEAM_NAME,TEAM_PTS,TEAM_VIC,B_PM_NAME,B_PM_PTS,B_PM_REB,B_PM_AST,B_PM_PM,B_PM_MIN,W_PM_NAME,W_PM_PTS,W_PM_REB,W_PM_AST,W_PM_PM,W_PM_MIN,B_GS_NAME,B_GS_PTS,B_GS_REB,B_GS_AST,B_GS_GS,B_GS_MIN,W_GS_NAME,W_GS_PTS,W_GS_REB,W_GS_AST,W_GS_GS,W_GS_MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT
LAL,133,True,Rui Hachimura,36.0,2.0,1.0,25.0,33.0,Jaxson Hayes,4.0,0.0,1.0,-2.0,11.0,Rui Hachimura,36.0,2.0,1.0,29.5,33.0,Christian Wood,2.0,4.0,1.0,-1.0,16.0,0.648,0.264,0.094,0.128
UTA,115,False,Taylor Hendricks,9.0,5.0,1.0,-1.0,16.0,Kris Dunn,12.0,1.0,3.0,-21.0,17.0,Keyonte George,13.0,5.0,7.0,13.9,32.0,Taylor Hendricks,9.0,5.0,1.0,6.5,16.0,0.554,0.129,0.124,0.278
