TEAM_NAME,TEAM_PTS,TEAM_VIC,B_PM_NAME,B_PM_PTS,B_PM_REB,B_PM_AST,B_PM_PM,B_PM_MIN,W_PM_NAME,W_PM_PTS,W_PM_REB,W_PM_AST,W_PM_PM,W_PM_MIN,B_GS_NAME,B_GS_PTS,B_GS_REB,B_GS_AST,B_GS_GS,B_GS_MIN,W_GS_NAME,W_GS_PTS,W_GS_REB,W_GS_AST,W_GS_GS,W_GS_MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT
IND,125,True,Ben Sheppard,10.0,5.0,0.0,8.0,20.0,Aaron Nesmith,8.0,2.0,1.0,-6.0,16.0,Tyrese Haliburton,21.0,4.0,12.0,23.3,34.0,T.J. McConnell,6.0,1.0,6.0,3.7,16.0,0.572,0.237,0.075,0.164
TOR,112,False,Immanuel Quickley,14.0,6.0,7.0,3.0,35.0,RJ Barrett,23.0,9.0,3.0,-13.0,33.0,Scottie Barnes,29.0,12.0,8.0,23.7,35.0,Gradey Dick,7.0,1.0,1.0,3.5,21.0,0.541,0.265,0.137,0.288
