TEAM_NAME,TEAM_PTS,TEAM_VIC,B_PM_NAME,B_PM_PTS,B_PM_REB,B_PM_AST,B_PM_PM,B_PM_MIN,W_PM_NAME,W_PM_PTS,W_PM_REB,W_PM_AST,W_PM_PM,W_PM_MIN,B_GS_NAME,B_GS_PTS,B_GS_REB,B_GS_AST,B_GS_GS,B_GS_MIN,W_GS_NAME,W_GS_PTS,W_GS_REB,W_GS_AST,W_GS_GS,W_GS_MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT
HOU,113,False,Nate Hinton,10.0,3.0,2.0,13.0,15.0,Aaron Holiday,19.0,2.0,1.0,-14.0,30.0,Amen Thompson,19.0,12.0,2.0,15.6,33.0,Jabari Smith Jr.,6.0,11.0,1.0,0.7,33.0,0.466,0.275,0.089,0.338
MEM,121,True,Ziaire Williams,5.0,2.0,2.0,12.0,21.0,John Konchar,8.0,3.0,2.0,-8.0,20.0,GG Jackson,20.0,9.0,0.0,16.5,24.0,Ziaire Williams,5.0,2.0,2.0,4.2,21.0,0.589,0.519,0.11,0.178
