TEAM_NAME,TEAM_PTS,TEAM_VIC,B_PM_NAME,B_PM_PTS,B_PM_REB,B_PM_AST,B_PM_PM,B_PM_MIN,W_PM_NAME,W_PM_PTS,W_PM_REB,W_PM_AST,W_PM_PM,W_PM_MIN,B_GS_NAME,B_GS_PTS,B_GS_REB,B_GS_AST,B_GS_GS,B_GS_MIN,W_GS_NAME,W_GS_PTS,W_GS_REB,W_GS_AST,W_GS_GS,W_GS_MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT
PHI,103,False,Cameron Payne,2.0,3.0,3.0,3.0,21.0,Kelly Oubre Jr.,9.0,3.0,2.0,-8.0,32.0,Tyrese Maxey,30.0,6.0,7.0,22.0,39.0,Cameron Payne,2.0,3.0,3.0,0.5,21.0,0.535,0.186,0.139,0.125
MIA,107,True,Duncan Robinson,20.0,1.0,4.0,14.0,32.0,Nikola Jovic,3.0,3.0,3.0,-2.0,14.0,Bam Adebayo,23.0,13.0,4.0,23.9,39.0,Nikola Jovic,3.0,3.0,3.0,1.4,14.0,0.54,0.17,0.133,0.213
