TEAM_NAME,TEAM_PTS,TEAM_VIC,B_PM_NAME,B_PM_PTS,B_PM_REB,B_PM_AST,B_PM_PM,B_PM_MIN,W_PM_NAME,W_PM_PTS,W_PM_REB,W_PM_AST,W_PM_PM,W_PM_MIN,B_GS_NAME,B_GS_PTS,B_GS_REB,B_GS_AST,B_GS_GS,B_GS_MIN,W_GS_NAME,W_GS_PTS,W_GS_REB,W_GS_AST,W_GS_GS,W_GS_MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT
NYK,100,False,Jalen Brunson,33.0,1.0,6.0,-2.0,35.0,Alec Burks,13.0,3.0,0.0,-28.0,30.0,Jalen Brunson,33.0,1.0,6.0,26.2,35.0,Josh Hart,4.0,3.0,2.0,1.1,29.0,0.482,0.286,0.133,0.314
ORL,111,True,Franz Wagner,21.0,3.0,6.0,25.0,31.0,Anthony Black,4.0,2.0,2.0,-1.0,23.0,Paolo Banchero,36.0,6.0,5.0,31.3,34.0,Anthony Black,4.0,2.0,2.0,1.1,23.0,0.711,0.145,0.14,0.25
