TEAM_NAME,TEAM_PTS,TEAM_VIC,B_PM_NAME,B_PM_PTS,B_PM_REB,B_PM_AST,B_PM_PM,B_PM_MIN,W_PM_NAME,W_PM_PTS,W_PM_REB,W_PM_AST,W_PM_PM,W_PM_MIN,B_GS_NAME,B_GS_PTS,B_GS_REB,B_GS_AST,B_GS_GS,B_GS_MIN,W_GS_NAME,W_GS_PTS,W_GS_REB,W_GS_AST,W_GS_GS,W_GS_MIN
DEN,131,True,Nikola Jokic,32.0,10.0,15.0,29.0,33.0,Zeke Nnaji,7.0,3.0,0.0,-17.0,18.0,Nikola Jokic,32.0,10.0,15.0,39.2,33.0,Julian Strawther,0.0,1.0,1.0,-2.2,13.0
HOU,111,False,Tari Eason,4.0,2.0,0.0,8.0,16.0,Dillon Brooks,11.0,1.0,2.0,-22.0,23.0,Jalen Green,26.0,6.0,9.0,27.2,34.0,Jock Landale,6.0,1.0,0.0,3.5,13.0
