TEAM_NAME,TEAM_PTS,TEAM_VIC,B_PM_NAME,B_PM_PTS,B_PM_REB,B_PM_AST,B_PM_PM,B_PM_MIN,W_PM_NAME,W_PM_PTS,W_PM_REB,W_PM_AST,W_PM_PM,W_PM_MIN,B_GS_NAME,B_GS_PTS,B_GS_REB,B_GS_AST,B_GS_GS,B_GS_MIN,W_GS_NAME,W_GS_PTS,W_GS_REB,W_GS_AST,W_GS_GS,W_GS_MIN
MEM,105,True,Derrick Rose,14.0,4.0,9.0,20.0,26.0,David Roddy,19.0,6.0,1.0,0.0,24.0,Jaren Jackson Jr.,20.0,6.0,1.0,17.0,34.0,Jaylen Nowell,0.0,2.0,1.0,-2.5,18.0
UTA,86,False,Ochai Agbaji,5.0,4.0,3.0,-1.0,21.0,Jordan Clarkson,12.0,3.0,5.0,-14.0,27.0,Walker Kessler,9.0,8.0,2.0,11.7,27.0,Talen Horton-Tucker,5.0,4.0,3.0,0.0,24.0
